Year,School,School_Consistant,Type,LearningCommunity,lon,lat,AMINMale,AMINFemale,AMIN_Pop,AMIN_Prcnt,AMINPercent,AsianMale,AsianFemale,Asian_Pop,Asian_Prcnt,AsianPercent,HispanicMale,HispanicFemale,Hispanic_Pop,Hispanic_Prcnt,HispanicPercent,BlackMale,BlackFemale,Black_Pop,Black_Prcnt,BlackPercent,WhiteMale,WhiteFemale,White_Pop,White_Prcnt,WhitePercent,PacificIslandMale,PacificIslandFemale,Pacific_Pop,Pacific_Prcnt,PacificPercent,TwoorMoreMale,TwoorMoreFemale,Mixed_Pop,Mixed_Prcnt,TwoorMorePercent,Total,Diverse1,Diverse2,Diverse3
2017,Sharon Elementary,SHARON ELEMENTARY,Elementary,Center City 2,-80.817385,35.15327,0,2,2,0.241,0.002,41,35,76,9.157,0.092,17,25,42,5.06,0.051,45,64,109,13.133,0.131,296,282,578,69.639,0.696,1,1,2,0.241,0.002,9,12,21,2.53,0.025,830,0,0,0
2018,Sharon Elementary,SHARON ELEMENTARY,Elementary,Center City 2,-80.817385,35.15327,0,3,3,0.35,0.004,41,39,80,9.335,0.093,12,24,36,4.201,0.042,44,50,94,10.968,0.11,320,297,617,71.995,0.72,2,0,2,0.233,0.002,12,13,25,2.917,0.029,857,0,0,0
2019,Sharon Elementary,SHARON ELEMENTARY,Elementary,Center City 2,-80.817385,35.15327,0,3,3,0.334,0.003,34,30,64,7.127,0.071,19,24,43,4.788,0.048,43,46,89,9.911,0.099,351,320,671,74.722,0.747,2,0,2,0.223,0.002,17,9,26,2.895,0.029,898,0,1,1
2020,Sharon Elementary,SHARON ELEMENTARY,Elementary,Center City 2,-80.817385,35.15327,0,2,2,0.209,0.002,39,31,70,7.307,0.073,25,27,52,5.428,0.054,41,31,72,7.516,0.075,369,339,708,73.904,0.739,1,0,1,0.104,0.001,30,23,53,5.532,0.055,958,0,1,1
2008,SMITH LANGUAGE ACAD,SMITH LANGUAGE ACADEMY,k-8,Center City 2,-80.851401,35.110347,3,0,3,0.302,0.003,10,24,34,3.424,0.034,72,83,155,15.609,0.156,160,195,355,35.75,0.358,207,239,446,44.914,0.449,0,0,0,0,0,0,0,0,0,0,993,0,0,0
2009,SMITH LANGUAGE ACAD,SMITH LANGUAGE ACADEMY,k-8,Center City 2,-80.851401,35.110347,3,0,3,0.277,0.003,13,36,49,4.524,0.045,93,107,200,18.467,0.185,171,200,371,34.257,0.343,218,242,460,42.475,0.425,0,0,0,0,0,0,0,0,0,0,1083,0,0,0
2010,SMITH LANGUAGE ACAD,SMITH LANGUAGE ACADEMY,k-8,Center City 2,-80.851401,35.110347,4,1,5,0.421,0.004,11,41,52,4.373,0.044,115,121,236,19.849,0.198,197,228,425,35.744,0.357,215,256,471,39.613,0.396,0,0,0,0,0,0,0,0,0,0,1189,0,0,0
2011,SMITH LANGUAGE ACADEMY,SMITH LANGUAGE ACADEMY,k-8,Center City 2,-80.851401,35.110347,0,0,0,0,0,15,42,57,4.664,0.047,104,114,218,17.84,0.178,133,179,312,25.532,0.255,227,268,495,40.507,0.405,0,0,0,0,0,74,66,140,11.457,0.115,1222,0,0,0
2008,SMITHFIELD ELEM,SMITHFIELD ELEMENTARY,Elementary,Southwest,-80.851401,35.110347,0,1,1,0.121,0.001,26,24,50,6.053,0.061,134,116,250,30.266,0.303,147,123,270,32.688,0.327,137,118,255,30.872,0.309,0,0,0,0,0,0,0,0,0,0,826,0,0,0
2009,SMITHFIELD ELEM,SMITHFIELD ELEMENTARY,Elementary,Southwest,-80.851401,35.110347,0,3,3,0.497,0.005,10,14,24,3.974,0.04,100,82,182,30.132,0.301,108,110,218,36.093,0.361,102,75,177,29.305,0.293,0,0,0,0,0,0,0,0,0,0,604,0,0,0
2010,SMITHFIELD ELEM,SMITHFIELD ELEMENTARY,Elementary,Southwest,-80.851401,35.110347,0,1,1,0.178,0.002,10,17,27,4.813,0.048,76,72,148,26.381,0.264,92,87,179,31.907,0.319,112,94,206,36.72,0.367,0,0,0,0,0,0,0,0,0,0,561,0,0,0
2011,SMITHFIELD ELEMENTARY,SMITHFIELD ELEMENTARY,Elementary,Southwest,-80.851401,35.110347,1,3,4,0.681,0.007,10,15,25,4.259,0.043,68,75,143,24.361,0.244,76,77,153,26.065,0.261,129,106,235,40.034,0.4,0,0,0,0,0,10,17,27,4.6,0.046,587,0,0,0
2012,SMITHFIELD ELEMENTARY,SMITHFIELD ELEMENTARY,Elementary,Southwest,-80.851401,35.110347,0,1,1,0.164,0.002,11,9,20,3.273,0.033,72,75,147,24.059,0.241,81,76,157,25.696,0.257,149,122,271,44.354,0.444,0,0,0,0,0,5,10,15,2.455,0.025,611,0,0,0
2013,SMITHFIELD ELEMENTARY,SMITHFIELD ELEMENTARY,Elementary,Southwest,-80.851401,35.110347,0,0,0,0,0,12,12,24,3.67,0.037,77,88,165,25.229,0.252,58,66,124,18.96,0.19,176,149,325,49.694,0.497,0,0,0,0,0,6,10,16,2.446,0.024,654,0,0,0
2014,Smithfield Elementary,SMITHFIELD ELEMENTARY,Elementary,Southwest,-80.851401,35.110347,0,0,0,0,0,13,11,24,3.614,0.036,87,88,175,26.355,0.264,54,64,118,17.771,0.178,171,155,326,49.096,0.491,1,1,2,0.301,0.003,7,12,19,2.861,0.029,664,0,0,0
2015,Smithfield Elementary,SMITHFIELD ELEMENTARY,Elementary,Southwest,-80.851401,35.110347,0,1,1,0.155,0.002,12,4,16,2.477,0.025,88,80,168,26.006,0.26,61,59,120,18.576,0.186,161,163,324,50.155,0.502,1,1,2,0.31,0.003,6,9,15,2.322,0.023,646,0,0,0
2016,Smithfield Elementary,SMITHFIELD ELEMENTARY,Elementary,Southwest,-80.851401,35.110347,0,0,0,0,0,10,4,14,2.112,0.021,87,66,153,23.077,0.231,89,68,157,23.68,0.237,158,163,321,48.416,0.484,1,0,1,0.151,0.002,7,10,17,2.564,0.026,663,0,0,0
2017,Smithfield Elementary,SMITHFIELD ELEMENTARY,Elementary,Southwest,-80.851401,35.110347,1,0,1,0.149,0.001,11,6,17,2.541,0.025,91,71,162,24.215,0.242,86,73,159,23.767,0.238,164,149,313,46.786,0.468,0,0,0,0,0,9,8,17,2.541,0.025,669,0,0,0
2018,Smithfield Elementary,SMITHFIELD ELEMENTARY,Elementary,Southwest,-80.851401,35.110347,0,0,0,0,0,10,8,18,2.786,0.028,84,85,169,26.161,0.262,81,71,152,23.529,0.235,145,132,277,42.879,0.429,3,0,3,0.464,0.005,15,12,27,4.18,0.042,646,0,0,0
2019,Smithfield Elementary,SMITHFIELD ELEMENTARY,Elementary,Southwest,-80.851401,35.110347,0,0,0,0,0,8,8,16,2.516,0.025,88,78,166,26.101,0.261,79,73,152,23.899,0.239,142,135,277,43.553,0.436,0,0,0,0,0,15,10,25,3.931,0.039,636,0,0,0
2020,Smithfield Elementary,SMITHFIELD ELEMENTARY,Elementary,Southwest,-80.851401,35.110347,0,0,0,0,0,8,9,17,2.733,0.027,83,95,178,28.617,0.286,70,69,139,22.347,0.223,131,136,267,42.926,0.429,0,0,0,0,0,10,11,21,3.376,0.034,622,0,0,0
2008,SOUTH CHARLOTTE MID,SOUTH CHARLOTTE MIDDLE,Middle,Southwest,-80.798975,35.090642,3,1,4,0.439,0.004,28,27,55,6.037,0.06,29,34,63,6.915,0.069,67,62,129,14.16,0.142,300,360,660,72.448,0.724,0,0,0,0,0,0,0,0,0,0,911,0,0,0
2009,SOUTH CHARLOTTE MID,SOUTH CHARLOTTE MIDDLE,Middle,Southwest,-80.798975,35.090642,4,0,4,0.432,0.004,33,27,60,6.486,0.065,31,36,67,7.243,0.072,69,79,148,16,0.16,295,351,646,69.838,0.698,0,0,0,0,0,0,0,0,0,0,925,0,0,0
2010,SOUTH CHARLOTTE MID,SOUTH CHARLOTTE MIDDLE,Middle,Southwest,-80.798975,35.090642,3,1,4,0.424,0.004,36,28,64,6.78,0.068,34,39,73,7.733,0.077,78,87,165,17.479,0.175,300,338,638,67.585,0.676,0,0,0,0,0,0,0,0,0,0,944,0,0,0
2011,SOUTH CHARLOTTE MIDDLE,SOUTH CHARLOTTE MIDDLE,Middle,Southwest,-80.798975,35.090642,1,1,2,0.223,0.002,39,38,77,8.603,0.086,35,38,73,8.156,0.082,61,76,137,15.307,0.153,277,297,574,64.134,0.641,0,0,0,0,0,10,22,32,3.575,0.036,895,0,0,0
2012,SOUTH CHARLOTTE MIDDLE,SOUTH CHARLOTTE MIDDLE,Middle,Southwest,-80.798975,35.090642,1,2,3,0.322,0.003,35,44,79,8.485,0.085,25,26,51,5.478,0.055,73,79,152,16.327,0.163,306,311,617,66.273,0.663,0,0,0,0,0,13,16,29,3.115,0.031,931,0,0,0
2013,SOUTH CHARLOTTE MIDDLE,SOUTH CHARLOTTE MIDDLE,Middle,Southwest,-80.798975,35.090642,1,0,1,0.106,0.001,43,40,83,8.839,0.088,43,32,75,7.987,0.08,85,62,147,15.655,0.157,285,320,605,64.43,0.644,0,0,0,0,0,15,13,28,2.982,0.03,939,0,0,0
2014,South Charlotte Middle,SOUTH CHARLOTTE MIDDLE,Middle,Southwest,-80.798975,35.090642,1,0,1,0.114,0.001,38,49,87,9.875,0.099,27,37,64,7.264,0.073,55,47,102,11.578,0.116,293,307,600,68.104,0.681,1,0,1,0.114,0.001,11,15,26,2.951,0.03,881,0,0,0
2015,South Charlotte Middle,SOUTH CHARLOTTE MIDDLE,Middle,Southwest,-80.798975,35.090642,2,2,4,0.467,0.005,34,37,71,8.294,0.083,34,35,69,8.061,0.081,51,48,99,11.565,0.116,290,302,592,69.159,0.692,0,0,0,0,0,8,13,21,2.453,0.025,856,0,0,0
2016,South Charlotte Middle,SOUTH CHARLOTTE MIDDLE,Middle,Southwest,-80.798975,35.090642,3,1,4,0.461,0.005,27,35,62,7.143,0.071,39,38,77,8.871,0.089,42,45,87,10.023,0.1,314,299,613,70.622,0.706,0,0,0,0,0,12,13,25,2.88,0.029,868,0,0,0
2017,South Charlotte Middle,SOUTH CHARLOTTE MIDDLE,Middle,Southwest,-80.798975,35.090642,2,1,3,0.339,0.003,30,32,62,6.998,0.07,41,34,75,8.465,0.085,47,53,100,11.287,0.113,334,294,628,70.88,0.709,0,0,0,0,0,11,7,18,2.032,0.02,886,0,0,0
2018,South Charlotte Middle,SOUTH CHARLOTTE MIDDLE,Middle,Southwest,-80.798975,35.090642,0,0,0,0,0,41,35,76,8.025,0.08,53,38,91,9.609,0.096,55,53,108,11.404,0.114,354,296,650,68.638,0.686,0,0,0,0,0,17,5,22,2.323,0.023,947,0,0,0
2019,South Charlotte Middle,SOUTH CHARLOTTE MIDDLE,Middle,Southwest,-80.798975,35.090642,0,0,0,0,0,43,42,85,8.7,0.087,63,56,119,12.18,0.122,61,70,131,13.408,0.134,337,278,615,62.948,0.629,0,0,0,0,0,15,12,27,2.764,0.028,977,0,0,0
2020,South Charlotte Middle,SOUTH CHARLOTTE MIDDLE,Middle,Southwest,-80.798975,35.090642,0,0,0,0,0,51,47,98,10.403,0.104,55,59,114,12.102,0.121,51,62,113,11.996,0.12,313,276,589,62.527,0.625,0,0,0,0,0,12,16,28,2.972,0.03,942,0,0,0
2008,SOUTH MECKLENBURG HI,SOUTH MECKLENBURG HIGH,High,Southwest,-80.861204,35.109301,5,3,8,0.452,0.005,44,34,78,4.404,0.044,151,152,303,17.109,0.171,211,194,405,22.868,0.229,499,478,977,55.167,0.552,0,0,0,0,0,0,0,0,0,0,1771,0,0,0
2009,SOUTH MECKLENBURG HI,SOUTH MECKLENBURG HIGH,High,Southwest,-80.861204,35.109301,3,1,4,0.225,0.002,39,35,74,4.171,0.042,158,142,300,16.911,0.169,199,190,389,21.928,0.219,516,491,1007,56.764,0.568,0,0,0,0,0,0,0,0,0,0,1774,0,0,0
2010,SOUTH MECKLENBURG HI,SOUTH MECKLENBURG HIGH,High,Southwest,-80.861204,35.109301,2,1,3,0.16,0.002,36,39,75,4,0.04,172,148,320,17.067,0.171,215,233,448,23.893,0.239,531,498,1029,54.88,0.549,0,0,0,0,0,0,0,0,0,0,1875,0,0,0
2011,SOUTH MECKLENBURG HIGH,SOUTH MECKLENBURG HIGH,High,Southwest,-80.861204,35.109301,3,1,4,0.2,0.002,46,48,94,4.702,0.047,178,182,360,18.009,0.18,239,212,451,22.561,0.226,543,500,1043,52.176,0.522,0,0,0,0,0,25,22,47,2.351,0.024,1999,0,0,0
2012,SOUTH MECKLENBURG HIGH,SOUTH MECKLENBURG HIGH,High,Southwest,-80.861204,35.109301,5,3,8,0.337,0.003,43,44,87,3.666,0.037,264,252,516,21.745,0.217,334,334,668,28.15,0.282,536,502,1038,43.742,0.437,0,0,0,0,0,26,30,56,2.36,0.024,2373,0,0,0
2013,SOUTH MECKLENBURG HIGH,SOUTH MECKLENBURG HIGH,High,Southwest,-80.861204,35.109301,4,2,6,0.235,0.002,38,46,84,3.285,0.033,316,295,611,23.895,0.239,349,359,708,27.689,0.277,549,531,1080,42.237,0.422,0,0,0,0,0,35,33,68,2.659,0.027,2557,0,0,0
2014,South Mecklenburg High,SOUTH MECKLENBURG HIGH,High,Southwest,-80.861204,35.109301,5,2,7,0.255,0.003,39,44,83,3.025,0.03,359,337,696,25.364,0.254,362,417,779,28.389,0.284,545,550,1095,39.905,0.399,0,1,1,0.036,0,39,44,83,3.025,0.03,2744,0,0,0
2015,South Mecklenburg High,SOUTH MECKLENBURG HIGH,High,Southwest,-80.861204,35.109301,6,3,9,0.309,0.003,35,47,82,2.815,0.028,409,374,783,26.88,0.269,353,445,798,27.394,0.274,543,602,1145,39.307,0.393,0,1,1,0.034,0,49,46,95,3.261,0.033,2913,0,0,0
2016,South Mecklenburg High,SOUTH MECKLENBURG HIGH,High,Southwest,-80.861204,35.109301,4,4,8,0.274,0.003,35,52,87,2.983,0.03,433,398,831,28.488,0.285,355,414,769,26.363,0.264,529,593,1122,38.464,0.385,0,1,1,0.034,0,53,46,99,3.394,0.034,2917,0,0,0
2017,South Mecklenburg High,SOUTH MECKLENBURG HIGH,High,Southwest,-80.861204,35.109301,2,7,9,0.297,0.003,47,46,93,3.068,0.031,480,474,954,31.475,0.315,368,422,790,26.064,0.261,527,561,1088,35.896,0.359,0,1,1,0.033,0,46,50,96,3.167,0.032,3031,0,0,0
2018,South Mecklenburg High,SOUTH MECKLENBURG HIGH,High,Southwest,-80.861204,35.109301,5,7,12,0.386,0.004,45,43,88,2.833,0.028,509,543,1052,33.87,0.339,377,377,754,24.276,0.243,542,559,1101,35.448,0.354,1,2,3,0.097,0.001,44,52,96,3.091,0.031,3106,0,0,0
2019,South Mecklenburg High,SOUTH MECKLENBURG HIGH,High,Southwest,-80.861204,35.109301,1,6,7,0.224,0.002,46,47,93,2.976,0.03,526,561,1087,34.784,0.348,375,384,759,24.288,0.243,548,533,1081,34.592,0.346,2,3,5,0.16,0.002,43,50,93,2.976,0.03,3125,0,0,0
2020,South Mecklenburg High,SOUTH MECKLENBURG HIGH,High,Southwest,-80.861204,35.109301,1,4,5,0.153,0.002,39,47,86,2.64,0.026,628,641,1269,38.95,0.39,326,391,717,22.007,0.22,546,527,1073,32.934,0.329,2,3,5,0.153,0.002,52,51,103,3.161,0.032,3258,0,0,0
2008,SOUTHWEST MIDDLE,SOUTHWEST MIDDLE SCHOOL,Middle,Southwest,-80.990707,35.107157,2,5,7,0.581,0.006,22,24,46,3.821,0.038,103,118,221,18.355,0.184,265,286,551,45.764,0.458,205,174,379,31.478,0.315,0,0,0,0,0,0,0,0,0,0,1204,0,0,0
2009,SOUTHWEST MIDDLE,SOUTHWEST MIDDLE SCHOOL,Middle,Southwest,-80.990707,35.107157,4,3,7,0.555,0.006,28,19,47,3.724,0.037,123,141,264,20.919,0.209,279,281,560,44.374,0.444,194,190,384,30.428,0.304,0,0,0,0,0,0,0,0,0,0,1262,0,0,0
2010,SOUTHWEST MIDDLE,SOUTHWEST MIDDLE SCHOOL,Middle,Southwest,-80.990707,35.107157,2,3,5,0.385,0.004,29,21,50,3.852,0.039,136,138,274,21.109,0.211,322,291,613,47.227,0.472,179,177,356,27.427,0.274,0,0,0,0,0,0,0,0,0,0,1298,0,0,0
2011,SOUTHWEST MIDDLE SCHOOL,SOUTHWEST MIDDLE SCHOOL,Middle,Southwest,-80.990707,35.107157,1,2,3,0.223,0.002,30,25,55,4.092,0.041,153,155,308,22.917,0.229,290,276,566,42.113,0.421,182,161,343,25.521,0.255,0,0,0,0,0,40,29,69,5.134,0.051,1344,0,0,0
2012,SOUTHWEST MIDDLE SCHOOL,SOUTHWEST MIDDLE SCHOOL,Middle,Southwest,-80.990707,35.107157,2,4,6,0.437,0.004,27,23,50,3.644,0.036,163,160,323,23.542,0.235,288,302,590,43.003,0.43,197,158,355,25.875,0.259,0,0,0,0,0,26,22,48,3.499,0.035,1372,0,0,0
2013,SOUTHWEST MIDDLE SCHOOL,SOUTHWEST MIDDLE SCHOOL,Middle,Southwest,-80.990707,35.107157,3,4,7,0.491,0.005,35,25,60,4.211,0.042,172,190,362,25.404,0.254,284,285,569,39.93,0.399,209,166,375,26.316,0.263,0,0,0,0,0,31,21,52,3.649,0.036,1425,0,0,0
2014,Southwest Middle School,SOUTHWEST MIDDLE SCHOOL,Middle,Southwest,-80.990707,35.107157,3,7,10,0.705,0.007,28,24,52,3.665,0.037,193,189,382,26.92,0.269,266,300,566,39.887,0.399,193,162,355,25.018,0.25,0,1,1,0.07,0.001,30,23,53,3.735,0.037,1419,0,0,0
2015,Southwest Middle School,SOUTHWEST MIDDLE SCHOOL,Middle,Southwest,-80.990707,35.107157,4,7,11,0.784,0.008,34,22,56,3.991,0.04,233,198,431,30.72,0.307,251,275,526,37.491,0.375,176,157,333,23.735,0.237,0,1,1,0.071,0.001,23,22,45,3.207,0.032,1403,0,0,0
2016,Southwest Middle School,SOUTHWEST MIDDLE SCHOOL,Middle,Southwest,-80.990707,35.107157,4,6,10,0.724,0.007,26,21,47,3.401,0.034,229,191,420,30.391,0.304,256,279,535,38.712,0.387,157,161,318,23.01,0.23,0,1,1,0.072,0.001,23,28,51,3.69,0.037,1382,0,0,0
2017,Southwest Middle School,SOUTHWEST MIDDLE SCHOOL,Middle,Southwest,-80.990707,35.107157,2,3,5,0.36,0.004,36,25,61,4.395,0.044,227,197,424,30.548,0.305,269,275,544,39.193,0.392,145,155,300,21.614,0.216,0,0,0,0,0,27,27,54,3.89,0.039,1388,0,0,0
2018,Southwest Middle School,SOUTHWEST MIDDLE SCHOOL,Middle,Southwest,-80.990707,35.107157,4,4,8,0.569,0.006,36,27,63,4.478,0.045,237,222,459,32.623,0.326,314,256,570,40.512,0.405,132,130,262,18.621,0.186,0,1,1,0.071,0.001,19,25,44,3.127,0.031,1407,0,0,0
2019,Southwest Middle School,SOUTHWEST MIDDLE SCHOOL,Middle,Southwest,-80.990707,35.107157,3,2,5,0.352,0.004,42,27,69,4.856,0.049,251,257,508,35.749,0.357,288,287,575,40.464,0.405,115,117,232,16.327,0.163,1,2,3,0.211,0.002,14,15,29,2.041,0.02,1421,0,0,0
2020,Southwest Middle School,SOUTHWEST MIDDLE SCHOOL,Middle,Southwest,-80.990707,35.107157,2,0,2,0.135,0.001,45,31,76,5.135,0.051,288,293,581,39.257,0.393,274,284,558,37.703,0.377,123,101,224,15.135,0.151,3,3,6,0.405,0.004,16,17,33,2.23,0.022,1480,0,0,0
2008,SPAUGH MIDDLE,SPAUGH MIDDLE,Middle,Center City 1,-80.886015,35.231511,0,0,0,0,0,9,5,14,2.718,0.027,15,10,25,4.854,0.049,236,229,465,90.291,0.903,6,5,11,2.136,0.021,0,0,0,0,0,0,0,0,0,0,515,1,1,1
2009,SPAUGH MIDDLE,SPAUGH MIDDLE,Middle,Center City 1,-80.886015,35.231511,2,2,4,0.743,0.007,16,12,28,5.204,0.052,14,12,26,4.833,0.048,251,205,456,84.758,0.848,11,13,24,4.461,0.045,0,0,0,0,0,0,0,0,0,0,538,1,1,1
2010,SPAUGH MIDDLE,SPAUGH MIDDLE,Middle,Center City 1,-80.886015,35.231511,1,1,2,0.375,0.004,20,17,37,6.942,0.069,15,10,25,4.69,0.047,233,219,452,84.803,0.848,9,8,17,3.189,0.032,0,0,0,0,0,0,0,0,0,0,533,1,1,1
2011,SPAUGH MIDDLE,SPAUGH MIDDLE,Middle,Center City 1,-80.886015,35.231511,2,0,2,0.38,0.004,18,22,40,7.605,0.076,9,6,15,2.852,0.029,226,204,430,81.749,0.817,11,11,22,4.183,0.042,0,0,0,0,0,5,12,17,3.232,0.032,526,1,1,1
2016,Starmount Acad of Excellence,STARMOUNT ACAD OF EXCELLENCE,Elementary,Southwest,-80.870575,35.139693,2,2,4,0.887,0.009,8,3,11,2.439,0.024,168,146,314,69.623,0.696,59,40,99,21.951,0.22,10,12,22,4.878,0.049,0,0,0,0,0,1,0,1,0.222,0.002,451,0,1,1
2017,Starmount Acad of Excellence,STARMOUNT ACAD OF EXCELLENCE,Elementary,Southwest,-80.870575,35.139693,3,1,4,0.899,0.009,7,1,8,1.798,0.018,148,163,311,69.888,0.699,63,41,104,23.371,0.234,10,6,16,3.596,0.036,0,0,0,0,0,1,1,2,0.449,0.004,445,0,1,1
2018,Starmount Acad of Excellence,STARMOUNT ACAD OF EXCELLENCE,Elementary,Southwest,-80.870575,35.139693,3,0,3,0.674,0.007,9,0,9,2.022,0.02,145,143,288,64.719,0.647,65,53,118,26.517,0.265,10,8,18,4.045,0.04,0,0,0,0,0,4,5,9,2.022,0.02,445,0,1,1
2019,Starmount Acad of Excellence,STARMOUNT ACAD OF EXCELLENCE,Elementary,Southwest,-80.870575,35.139693,2,1,3,0.674,0.007,7,0,7,1.573,0.016,152,157,309,69.438,0.694,59,42,101,22.697,0.227,10,7,17,3.82,0.038,0,0,0,0,0,4,4,8,1.798,0.018,445,0,1,1
2020,Starmount Acad of Excellence,STARMOUNT ACAD OF EXCELLENCE,Elementary,Southwest,-80.870575,35.139693,1,1,2,0.401,0.004,3,0,3,0.601,0.006,190,192,382,76.553,0.766,46,38,84,16.834,0.168,10,6,16,3.206,0.032,0,0,0,0,0,7,5,12,2.405,0.024,499,1,1,1
2008,STATESVILLE ROAD EL,STATESVILLE ROAD ELEMENTARY,Elementary,Center City 1,-80.846775,35.296115,3,0,3,0.57,0.006,15,6,21,3.992,0.04,29,31,60,11.407,0.114,222,178,400,76.046,0.76,22,20,42,7.985,0.08,0,0,0,0,0,0,0,0,0,0,526,1,1,1
2009,STATESVILLE ROAD EL,STATESVILLE ROAD ELEMENTARY,Elementary,Center City 1,-80.846775,35.296115,1,5,6,1.083,0.011,16,10,26,4.693,0.047,32,37,69,12.455,0.125,248,172,420,75.812,0.758,19,14,33,5.957,0.06,0,0,0,0,0,0,0,0,0,0,554,1,1,1
2010,STATESVILLE ROAD EL,STATESVILLE ROAD ELEMENTARY,Elementary,Center City 1,-80.846775,35.296115,0,2,2,0.383,0.004,14,15,29,5.556,0.056,23,35,58,11.111,0.111,215,190,405,77.586,0.776,16,12,28,5.364,0.054,0,0,0,0,0,0,0,0,0,0,522,1,1,1
2011,STATESVILLE ROAD ELEMENTARY,STATESVILLE ROAD ELEMENTARY,Elementary,Center City 1,-80.846775,35.296115,0,0,0,0,0,15,17,32,6.214,0.062,21,28,49,9.515,0.095,210,181,391,75.922,0.759,13,11,24,4.66,0.047,0,0,0,0,0,11,8,19,3.689,0.037,515,1,1,1
2012,STATESVILLE ROAD ELEMENTARY,STATESVILLE ROAD ELEMENTARY,Elementary,Center City 1,-80.846775,35.296115,0,0,0,0,0,5,14,19,3.282,0.033,25,36,61,10.535,0.105,244,228,472,81.52,0.815,12,7,19,3.282,0.033,0,0,0,0,0,5,3,8,1.382,0.014,579,1,1,1
2013,STATESVILLE ROAD ELEMENTARY,STATESVILLE ROAD ELEMENTARY,Elementary,Center City 1,-80.846775,35.296115,2,1,3,0.52,0.005,4,10,14,2.426,0.024,28,33,61,10.572,0.106,226,241,467,80.936,0.809,12,9,21,3.64,0.036,0,0,0,0,0,7,4,11,1.906,0.019,577,1,1,1
2014,Statesville Road Elementary,STATESVILLE ROAD ELEMENTARY,Elementary,Center City 1,-80.846775,35.296115,2,1,3,0.58,0.006,4,5,9,1.741,0.017,28,28,56,10.832,0.108,193,227,420,81.238,0.812,8,6,14,2.708,0.027,1,0,1,0.193,0.002,5,9,14,2.708,0.027,517,1,1,1
2015,Statesville Road Elementary,STATESVILLE ROAD ELEMENTARY,Elementary,Center City 1,-80.846775,35.296115,0,1,1,0.178,0.002,9,8,17,3.03,0.03,47,49,96,17.112,0.171,204,214,418,74.51,0.745,6,6,12,2.139,0.021,1,0,1,0.178,0.002,8,8,16,2.852,0.029,561,0,1,1
2016,Statesville Road Elementary,STATESVILLE ROAD ELEMENTARY,Elementary,Center City 1,-80.846775,35.296115,2,1,3,0.531,0.005,7,4,11,1.947,0.019,44,48,92,16.283,0.163,211,220,431,76.283,0.763,4,6,10,1.77,0.018,0,0,0,0,0,7,11,18,3.186,0.032,565,1,1,1
2017,Statesville Road Elementary,STATESVILLE ROAD ELEMENTARY,Elementary,Center City 1,-80.846775,35.296115,1,0,1,0.177,0.002,10,3,13,2.297,0.023,44,46,90,15.901,0.159,210,229,439,77.562,0.776,1,2,3,0.53,0.005,0,1,1,0.177,0.002,8,11,19,3.357,0.034,566,1,1,1
2018,Statesville Road Elementary,STATESVILLE ROAD ELEMENTARY,Elementary,Center City 1,-80.846775,35.296115,0,0,0,0,0,11,4,15,2.632,0.026,52,58,110,19.298,0.193,205,214,419,73.509,0.735,2,2,4,0.702,0.007,0,0,0,0,0,11,11,22,3.86,0.039,570,0,1,1
2019,Statesville Road Elementary,STATESVILLE ROAD ELEMENTARY,Elementary,Center City 1,-80.846775,35.296115,0,0,0,0,0,11,4,15,2.56,0.026,63,53,116,19.795,0.198,218,206,424,72.355,0.724,2,2,4,0.683,0.007,0,0,0,0,0,13,14,27,4.608,0.046,586,0,1,1
2020,Statesville Road Elementary,STATESVILLE ROAD ELEMENTARY,Elementary,Center City 1,-80.846775,35.296115,0,0,0,0,0,13,5,18,3.543,0.035,63,60,123,24.213,0.242,175,165,340,66.929,0.669,2,1,3,0.591,0.006,0,0,0,0,0,9,15,24,4.724,0.047,508,0,1,1
2008,STEELE CREEK ELEM,STEELE CREEK ELEMENTARY,Elementary,Southwest,-80.955667,35.15716,1,2,3,0.258,0.003,50,42,92,7.904,0.079,171,182,353,30.326,0.303,277,265,542,46.564,0.466,95,79,174,14.948,0.149,0,0,0,0,0,0,0,0,0,0,1164,0,0,0
2009,STEELE CREEK ELEM,STEELE CREEK ELEMENTARY,Elementary,Southwest,-80.955667,35.15716,3,1,4,0.33,0.003,60,44,104,8.581,0.086,196,191,387,31.931,0.319,287,257,544,44.884,0.449,102,71,173,14.274,0.143,0,0,0,0,0,0,0,0,0,0,1212,0,0,0
2010,STEELE CREEK ELEM,STEELE CREEK ELEMENTARY,Elementary,Southwest,-80.955667,35.15716,0,0,0,0,0,29,19,48,6.621,0.066,126,110,236,32.552,0.326,153,184,337,46.483,0.465,58,46,104,14.345,0.143,0,0,0,0,0,0,0,0,0,0,725,0,0,0
2011,STEELE CREEK ELEMENTARY,STEELE CREEK ELEMENTARY,Elementary,Southwest,-80.955667,35.15716,0,0,0,0,0,21,21,42,5.785,0.058,121,116,237,32.645,0.326,149,177,326,44.904,0.449,51,38,89,12.259,0.123,0,0,0,0,0,23,9,32,4.408,0.044,726,0,0,0
2012,STEELE CREEK ELEMENTARY,STEELE CREEK ELEMENTARY,Elementary,Southwest,-80.955667,35.15716,0,1,1,0.129,0.001,19,21,40,5.161,0.052,133,119,252,32.516,0.325,179,186,365,47.097,0.471,55,40,95,12.258,0.123,0,0,0,0,0,10,12,22,2.839,0.028,775,0,0,0
